iter	Passed	Remaining
725	51243	19339
726	51387	19296
727	51492	19238
728	51573	19172
729	51704	19123
730	51786	19056
731	51857	18986
732	51920	18912
733	52043	18860
734	52100	18784
735	52159	18709
736	52212	18632
737	52281	18560
738	52345	18487
739	52415	18416
740	52491	18347
741	52555	18274
742	52609	18197
743	52665	18121
744	52743	18053
745	52854	17995
746	52928	17926
747	52994	17853
748	53052	17778
749	53116	17705
750	53183	17633
751	53253	17562
752	53311	17487
753	53382	17416
754	53449	17344
755	53552	17284
756	53624	17213
757	53693	17142
758	53746	17065
759	53803	16990
760	53909	16930
761	53965	16855
762	54017	16778
763	54076	16704
764	54139	16631
765	54197	16556
766	54279	16488
767	54375	16426
768	54511	16374
769	54613	16313
770	54738	16258
771	54943	16226
772	55055	16167
773	55117	16093
774	55197	16025
775	55270	15954
776	55335	15881
777	55405	15809
778	55541	15756
779	55623	15688
780	55724	15625
781	55826	15562
782	55925	15499
783	56043	15440
784	56289	15416
785	56511	15386
786	56643	15330
787	56753	15268
788	56836	15199
789	56893	15123
790	56968	15052
791	57029	14977
792	57103	14906
793	57246	14852
794	57321	14781
795	57427	14717
796	57551	14658
797	57619	14585
798	57682	14510
799	57758	14439
800	57814	14363
801	57870	14287
802	57924	14210
803	57978	14134
804	58035	14058
805	58092	13982
806	58148	13906
807	58203	13830
808	58293	13762
809	58350	13687
810	58410	13612
811	58497	13543
812	58585	13475
813	58644	13400
814	58708	13326
815	58760	13249
816	58810	13172
817	58866	13097
818	58930	13023
819	58986	12948
820	59056	12875
821	59199	12819
822	59348	12763
823	59405	12688
824	59461	12612
825	59510	12536
826	59560	12459
827	59612	12383
828	59680	12310
829	59775	12243
830	59844	12170
831	59915	12098
832	59979	12024
833	60041	11950
834	60097	11875
835	60158	11801
836	60224	11728
837	60282	11653
838	60381	11586
839	60444	11513
840	60494	11437
841	60548	11361
842	60605	11287
843	60673	11214
844	60729	11139
845	60780	11064
846	60832	10988
847	60891	10914
848	60953	10840
849	61010	10766
850	61067	10692
851	61131	10619
852	61189	10544
853	61241	10469
854	61292	10394
855	61366	10323
856	61456	10254
857	61507	10179
858	61557	10104
859	61609	10029
860	61667	9955
861	61740	9884
862	61822	9814
863	61894	9742
864	61957	9669
865	62014	9595
866	62067	9521
867	62117	9446
868	62179	9373
869	62243	9300
870	62301	9227
871	62373	9155
872	62439	9083
873	62543	9016
