iter	Passed	Remaining
733	431090	156226
734	433906	156442
735	434760	155946
736	435820	155523
737	436378	154920
738	437289	154442
739	437782	153815
740	438837	153385
741	439965	152979
742	440707	152438
743	441554	151932
744	442126	151332
745	442973	150824
746	443555	150226
747	444504	149752
748	445104	149160
749	445998	148666
750	446595	148072
751	447483	147574
752	448064	146974
753	448909	146461
754	449480	145857
755	450531	145409
756	451167	144826
757	451998	144305
758	452616	143716
759	453479	143203
760	453942	142565
761	454963	142101
762	455550	141501
763	456564	141032
764	457081	140410
765	457859	139868
766	458297	139222
767	459153	138702
768	459618	138064
769	460353	137508
770	461091	136952
771	461833	136396
772	462271	135751
773	463584	135361
774	464673	134905
775	466138	134555
776	467960	134305
777	468855	133786
778	470163	133384
779	471777	133065
780	472558	132510
781	473706	132056
782	474305	131448
783	475669	131051
784	478141	130955
785	479534	130560
786	480146	129950
787	480953	129393
788	481400	128739
789	482007	128128
790	483288	127695
791	485022	127379
792	485806	126812
793	486978	126344
794	487777	125779
795	488626	125225
796	489523	124684
797	490922	124268
798	492338	123854
799	493667	123416
800	495732	123159
801	497472	122817
802	498671	122339
803	499819	121846
804	500357	121204
805	501540	120718
806	502884	120268
807	503464	119635
808	504228	119045
809	504735	118394
810	505344	117768
811	506029	117159
812	506549	116512
813	507380	115937
814	507885	115286
815	508664	114698
816	509115	114036
817	509894	113448
818	510363	112790
819	510841	112135
820	513130	111876
821	514478	111407
822	515747	110920
823	516780	110380
824	517946	109867
825	519171	109365
826	519653	108706
827	520479	108118
828	521213	107511
829	523024	107125
830	525408	106852
831	526244	106260
832	527205	105694
833	527707	105035
834	529013	104535
835	530500	104069
836	532083	103619
837	533368	103109
838	533929	102458
839	534887	101883
840	535393	101221
841	536621	100696
842	537637	100129
843	538563	99544
844	539219	98910
845	539791	98260
846	540241	97587
847	541638	97086
848	543415	96649
849	544539	96095
850	545926	95585
851	546562	94942
852	547584	94366
853	548185	93717
854	549341	93163
855	549861	92500
856	551116	91959
857	553270	91566
858	554751	91059
859	555606	90447
860	556735	89879
861	557271	89215
862	558281	88626
863	558783	87956
864	559648	87343
865	560185	86680
866	560894	86042
867	561437	85379
868	561949	84712
869	562925	84115
870	563954	83524
871	564438	82853
872	565161	82217
873	565967	81592
874	566433	80919
875	567191	80287
876	567618	79609
877	568443	78986
878	570302	78505
879	571808	77973
880	572670	77352
881	573629	76744
882	574137	76074
883	575147	75471
884	575643	74801
885	577284	74278
886	579236	73792
887	580042	73158
888	581142	72561
889	581980	71930
890	582836	71300
891	583967	70704
892	586605	70287
893	587853	69700
894	589111	69113
895	589650	68441
896	590761	67835
897	592778	67331
898	594091	66744
899	595463	66162
900	596480	65540
901	597712	64939
902	598871	64330
903	599507	63664
904	600456	63031
905	600879	62342
906	602638	61792
907	604197	61218
908	605451	60611
909	606633	59996
910	607194	59319
911	608193	58685
912	608805	58013
913	609840	57381
914	610354	56699
915	611271	56055
916	611761	55372
917	612920	54748
918	614448	54157
919	616003	53565
920	617261	52946
921	617873	52271
922	619684	51696
923	620931	51072
924	622897	50505
925	624529	49908
926	625529	49259
927	626524	48609
928	627030	47921
929	628113	47277
930	628670	46593
931	629615	45937
932	630145	45251
933	630999	44588
934	631454	43897
935	632315	43235
936	632863	42551
937	633973	41904
938	635837	41305
939	637255	40675
940	638726	40047
941	639498	39374
942	640581	38720
943	641079	38030
944	641901	37359
945	642390	36669
946	643523	36015
947	645148	35387
948	647159	34778
949	648769	34145
950	649856	33483
951	650577	32802
952	651513	32131
953	652093	31442
954	652764	30758
955	655471	30168
956	657610	29547
957	659219	28901
958	661123	28264
959	662535	27605
960	663163	26912
961	664073	26231
962	664577	25534
963	665485	24852
964	666038	24156
965	666993	23475
966	667689	22785
967	668582	22101
968	669109	21405
969	672102	20786
970	673938	20127
971	674721	19436
972	676199	18764
973	678974	18124
974	680428	17446
975	681638	16761
976	682791	16073
977	683363	15372
978	684241	14677
979	684721	13973
980	686117	13288
981	687075	12594
982	687907	11896
983	688460	11194
984	689573	10501
985	690431	9803
986	691275	9104
987	691940	8404
988	692667	7704
989	694603	7016
990	696521	6325
991	698223	5630
992	699541	4931
993	700221	4226
994	701284	3524
995	701959	2819
996	703361	2116
997	705763	1414
998	707058	707
999	708305	0
