iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
341	237	267	237	340	237	340	267
342	238	268	238	340	238	340	268
343	238	268	238	340	238	340	268
344	238	268	238	340	238	340	268
345	238	268	238	340	238	340	268
346	238	268	238	340	238	340	268
347	238	268	238	340	238	340	268
348	238	268	238	340	238	340	268
349	238	268	238	340	238	340	268
350	238	268	238	340	238	340	268
351	238	268	238	340	238	340	268
352	238	268	238	340	238	340	268
353	238	268	238	340	238	340	268
354	238	268	238	340	238	340	268
355	238	268	238	340	238	340	268
356	238	268	238	340	238	340	268
357	238	268	238	340	238	340	268
358	238	268	238	340	238	340	268
359	238	268	238	340	238	340	268
360	238	268	238	340	238	340	268
361	238	268	238	340	238	340	268
362	238	268	238	340	238	340	268
363	238	268	238	340	238	340	268
364	238	268	238	340	238	340	268
365	238	268	238	340	238	340	268
366	238	268	238	340	238	340	268
367	238	268	238	340	238	340	268
368	238	268	238	340	238	340	268
369	241	271	241	340	241	340	271
370	243	274	243	340	243	340	274
371	243	274	243	340	243	340	274
372	243	274	243	340	243	340	274
373	240	271	240	340	240	340	271
374	240	271	240	340	240	340	271
375	238	268	238	340	238	340	268
376	240	271	240	340	240	340	271
377	240	271	240	340	240	340	271
378	240	271	240	340	240	340	271
379	238	268	238	340	238	340	268
380	241	271	241	340	241	340	271
381	241	271	241	340	241	340	271
382	240	271	240	340	240	340	271
383	240	271	240	340	240	340	271
384	238	268	238	340	238	340	268
385	240	271	240	340	240	340	271
386	240	271	240	340	240	340	271
387	240	271	240	340	240	340	271
388	240	271	240	340	240	340	271
389	240	271	240	340	240	340	271
390	240	271	240	340	240	340	271
391	240	271	240	340	240	340	271
392	240	271	240	340	240	340	271
393	240	271	240	340	240	340	271
394	240	271	240	340	240	340	271
395	240	271	240	340	240	340	271
396	240	271	240	340	240	340	271
397	243	274	243	340	243	340	274
398	243	274	243	340	243	340	274
399	243	274	243	340	243	340	274
400	243	274	243	340	243	340	274
401	243	274	243	340	243	340	274
402	243	274	243	340	243	340	274
403	243	274	243	340	243	340	274
404	243	274	243	340	243	340	274
405	243	274	243	340	243	340	274
406	243	274	243	340	243	340	274
407	240	271	240	340	240	340	271
408	243	274	243	340	243	340	274
409	243	274	243	340	243	340	274
410	243	274	243	340	243	340	274
411	243	274	243	340	243	340	274
412	243	274	243	340	243	340	274
413	243	274	243	340	243	340	274
414	243	274	243	340	243	340	274
415	243	274	243	340	243	340	274
416	243	274	243	340	243	340	274
417	243	274	243	340	243	340	274
418	243	274	243	340	243	340	274
419	243	274	243	340	243	340	274
420	243	274	243	340	243	340	274
421	243	274	243	340	243	340	274
422	243	274	243	340	243	340	274
423	243	274	243	340	243	340	274
424	246	277	246	340	246	340	277
425	245	276	245	340	245	340	276
426	246	277	246	340	246	340	277
427	246	277	246	340	246	340	277
428	246	277	246	340	246	340	277
429	246	277	246	340	246	340	277
430	246	277	246	340	246	340	277
431	246	277	246	340	246	340	277
432	246	277	246	340	246	340	277
433	246	277	246	340	246	340	277
434	246	277	246	340	246	340	277
435	246	277	246	340	246	340	277
436	246	277	246	340	246	340	277
437	246	277	246	340	246	340	277
438	246	277	246	340	246	340	277
439	246	277	246	340	246	340	277
440	246	277	246	340	246	340	277
441	246	277	246	340	246	340	277
442	246	277	246	340	246	340	277
443	246	277	246	340	246	340	277
444	246	277	246	340	246	340	277
445	246	277	246	340	246	340	277
446	246	277	246	340	246	340	277
447	245	276	245	340	245	340	276
448	245	276	245	340	245	340	276
449	245	276	245	340	245	340	276
450	245	276	245	340	245	340	276
451	245	276	245	340	245	340	276
452	245	276	245	340	245	340	276
453	245	276	245	340	245	340	276
454	245	276	245	340	245	340	276
455	245	276	245	340	245	340	276
456	245	276	245	340	245	340	276
457	245	276	245	340	245	340	276
458	245	276	245	340	245	340	276
459	245	276	245	340	245	340	276
460	245	276	245	340	245	340	276
461	245	276	245	340	245	340	276
462	245	276	245	340	245	340	276
463	246	277	246	340	246	340	277
464	247	278	247	340	247	340	278
465	247	278	247	340	247	340	278
466	248	279	248	340	248	340	279
467	249	280	249	340	249	340	280
468	249	280	249	340	249	340	280
469	247	278	247	340	247	340	278
470	247	278	247	340	247	340	278
